table_name,column_name,full_column_name,descriptions,data_type,char_len
MDOTW_VW_OCCURRENCE_PUBLIC,NotificationDetailID,Notification detail identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,NumberOfCrew,Number of crew,The number of crew members on board the vessel.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,NumberOfEvacuated,Number of evacuated,The number of people evacuated from the vessel.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,NumberOfGuest,Number of guests,The number of guests on board the vessel.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,NumberOfOther,Number of others,"The number of other people (e.g., repair crew) on board the vessel.",int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,NumberOfPass,Number of passengers,The number of passengers on board the vessel.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,NumberOfPilots,Number of pilots,The number of pilots on board the vessel.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,ObservedByDisplayEng,Observed by (English),"The role of the person who noticed the presence of ice, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,ObservedByDisplayFre,Observed by (French),"The role of the person who noticed the presence of ice, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,ObservedByID,Observed by identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,OccClassDisplayEng,Occurrence classification (English),"The TSB investigation classification of the occurrence, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,OccClassDisplayFre,Occurrence classification (French),"The TSB investigation classification of the occurrence, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,OccClassID,Occurrence classification identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,OccClosedDate,Occurrence closed date,The date on which the TSB's investigation into the occurrence was closed. Date format is YYYY-MM-DD.,datetime,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,OccDate,Occurrence date,The date on which the occurrence took place. Date format is YYYY-MM-DD.,date,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,OccID,Occurrence identification number,The occurrence identification number; a unique identifier for the occurrence assigned by MARSIS.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,OccNo,Occurrence number,"The TSB occurrence number; a unique identifier for the occurrence. The ""M"" is to identify Marine mode followed by 2 digits to identify the year of the occurrence. The letter after the year is to identify the TSB region responsible for investigating the occurrence. This is followed by the sequential number assigned by the MARSIS application.",varchar,12
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,OccID,Occurrence identification number,The occurrence identification number; a unique identifier for the occurrence assigned by MARSIS.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,OccID,Occurrence identification number,The occurrence identification number; a unique identifier for the occurrence assigned by MARSIS.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,OccNo,Occurrence number,"The TSB occurrence number; a unique identifier for the occurrence. The ""M"" is to identify Marine mode followed by 2 digits to identify the year of the occurrence. The letter after the year is to identify the TSB region responsible for investigating the occurrence. This is followed by the sequential number assigned by the MARSIS application.",varchar,12
MDOTW_VW_OCCURRENCE_VESSEL_LSA_EQUIPMENT_PUBLIC,OccID,Occurrence identification number,The occurrence identification number; a unique identifier for the occurrence assigned by MARSIS.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_NAV_EQUIPMENT_PUBLIC,OccID,Occurrence identification number,The occurrence identification number; a unique identifier for the occurrence assigned by MARSIS.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,VesselID,Vessel identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,VesselName,Vessel name,The name of the vessel.,varchar,255
MDOTW_VW_INJURIES_PUBLIC,OccID,Occurrence identification number,The occurrence identification number; a unique identifier for the occurrence assigned by MARSIS.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,OccNo,Occurrence number,"The TSB occurrence number; a unique identifier for the occurrence. The ""M"" is to identify Marine mode followed by 2 digits to identify the year of the occurrence. The letter after the year is to identify the TSB region responsible for investigating the occurrence. This is followed by the sequential number assigned by the MARSIS application.",varchar,12
MDOTW_VW_OCCURRENCE_VESSEL_LSA_EQUIPMENT_PUBLIC,OccNo,Occurrence number,"The TSB occurrence number; a unique identifier for the occurrence. The ""M"" is to identify Marine mode followed by 2 digits to identify the year of the occurrence. The letter after the year is to identify the TSB region responsible for investigating the occurrence. This is followed by the sequential number assigned by the MARSIS application.",varchar,12
MDOTW_VW_OCCURRENCE_VESSEL_NAV_EQUIPMENT_PUBLIC,OccNo,Occurrence number,"The TSB occurrence number; a unique identifier for the occurrence. The ""M"" is to identify Marine mode followed by 2 digits to identify the year of the occurrence. The letter after the year is to identify the TSB region responsible for investigating the occurrence. This is followed by the sequential number assigned by the MARSIS application.",varchar,12
MDOTW_VW_INJURIES_PUBLIC,OccNo,Occurrence number,"The TSB occurrence number; a unique identifier for the occurrence. The ""M"" is to identify Marine mode followed by 2 digits to identify the year of the occurrence. The letter after the year is to identify the TSB region responsible for investigating the occurrence. This is followed by the sequential number assigned by the MARSIS application.",varchar,12
MDOTW_VW_OCCURRENCE_PUBLIC,OccTime,Occurrence time,The time at which the occurrence took place. Time format is hh:mm (24-hour clock).,time,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,OccTypeDisplayEng,Occurrence type (English),"Indicates whether the occurrence was an accident or reportable incident, in English. ",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,OccTypeDisplayEng,Occurrence type (English),"Indicates whether the occurrence was an accident or reportable incident, in English. ",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,OccTypeDisplayFre,Occurrence type (French),"Indicated whether the occurrence was an accident or reportable incident, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,OccTypeDisplayFre,Occurrence type (French),"Indicates whether the occurrence was an accident or reportable incident, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,OccTypeID,Occurrence type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,OccurrencePrimaryAccIncIND,Occurrence primary accident or incident indicator,"Indicates whether the accident/incident type is the primary accident/incident of the occurrence (0=no, 1=yes).",varchar,1
MDOTW_VW_OCCURRENCE_PUBLIC,OccurrenceTypeID,Occurrence type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,OfficialNo,Official number,"The vessel's official number, assigned to it by its flag state.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_NAV_EQUIPMENT_PUBLIC,OnOffEnum,On or off enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_NAV_EQUIPMENT_PUBLIC,OnOffEnumDisplayEng,On or off (English),"Indicates whether the navigation aids were on or off at the time of the occurrence, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_NAV_EQUIPMENT_PUBLIC,OnOffEnumDisplayFre,On or off (French),"Indicates whether the navigation aids were on or off at the time of the occurrence, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,OtherDamageObjectID,Other damage object identification number,"A system-generated number for the purposes of database 
administration.",int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,OtherObjectDamageDegreeDisplayEng,Other object damage degree (English),"The degree of damage to the other object, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,OtherObjectDamageDegreeDisplayFre,Other object damage degree (French),"The degree of damage to the other object, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,OtherObjectDamageDegreeID,Other object damage degree identification number,"A system-generated number for the purposes of database 
administration.",int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,OtherObjectDisplayEng,Other object (English),"The subtype of object (other than the vessel) that was damaged in the occurrence, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,OtherObjectDisplayFre,Other object (French),"The subtype of object (other than the vessel) that was damaged in the occurrence, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,OtherObjectIceRelatedDamageIND,Other object ice-related damage indicator,"Indicates whether there was ice-related damage to the object (0=no, 1=yes).",smallint,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,OtherObjectID,Other object identification number,"A system-generated number for the purposes of database 
administration.",int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,OtherObjectTypeDisplayEng,Other object type (English),"The type of object (other than the vessel) that was damaged in the occurrence, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,OtherObjectTypeDisplayFre,Other object type (French),"The type of object (other than the vessel) that was damaged in the occurrence, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,OtherObjectTypeID,Other object identification number,"A system-generated number for the purposes of database 
administration.",int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,OtherStateInvestigatingDisplayEng,Other state investigating (English),"The other state that is investigating the occurrence, if applicable, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,OtherStateInvestigatingDisplayFre,Other state investigation (French),"The other state that is investigating the occurrence, if applicable, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,OtherStateInvestigatingID,Other state investigation identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ParentVesselID,Parent vessel identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ParentVesselName,Parent vessel name,The name of the parent vessel.,varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ParentVesselVersion,Parent vessel version,The version of the parent vessel at the time of the occurrence.,int,NULL
MDOTW_VW_INJURIES_PUBLIC,PeopleInWaterDontKnowLSE,People in water life-saving equipment unknown,The number of people for whom it is not known whether they were wearing life-saving equipment.,int,NULL
MDOTW_VW_INJURIES_PUBLIC,PeopleInWaterLseTypeDisplayEng,People in water life-saving equipment type (English),"The type of life-saving equipment that people in the water were wearing, in English.",varchar,255
MDOTW_VW_INJURIES_PUBLIC,PeopleInWaterLseTypeDisplayFre,People in water life-saving equipment type (French),"The type of life-saving equipment that people in the water were wearing, in French.",varchar,255
MDOTW_VW_INJURIES_PUBLIC,PeopleInWaterLseTypeID,People in water life-saving equipment type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_INJURIES_PUBLIC,PeopleInWaterNoLSE,People in water not wearing life-saving equipment,The number of people in the water who were not wearing life-saving equipment.,int,NULL
MDOTW_VW_INJURIES_PUBLIC,PeopleInWaterWearingLSE,People in water wearing life-saving equipment,The number of people in the water who were wearing life-saving equipment.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,PollutionIND,Pollution indicator,A system-generated number for the purposes of database administration.,smallint,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,PollutionIND_DisplayEng,Pollution (English),"Indicates whether there was pollution associated with the occurrence, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,PollutionIND_DisplayFre,Pollution (French),"Indicates whether there was pollution associated with the occurrence, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,PortOfRegistryDisplayEng,Port of registry (English),"The vessel's port of registry, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,PortOfRegistryDisplayFre,Port of registry (French),"The vessel's port of registry, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,PortOfRegistryID,Port of registry identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,Position,Position,The geographical position where the occurrence was located. The data is displayed as a standard GIS number that can be translated into coordinates in various formats.,geography,-1
MDOTW_VW_OCCURRENCE_PUBLIC,PositionEstimatedIND,Position estimated indicator,A system-generated number for the purposes of database administration.,smallint,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,PositionEstimatedIND_DisplayEng,Position estimated (English),"Indicates whether the occurrence position is estimated, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,PositionEstimatedIND_DisplayFre,Position estimate (French),"Indicates whether the occurrence position is estimated, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,PositionInText,Position in text,The geographical position where the occurrence was located. This is a legacy field from a previous version of MARSIS. This data is now included in the Position field.,nvarchar,-1
MDOTW_VW_OCCURRENCE_PUBLIC,PositionTypeDisplayEng,Position type (English),"The format in which the occurrence position is expressed (DD.DDDD, DDMM.MMM, or DDMMSS.SS), in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,PositionTypeDisplayFre,Position type (French),"The format in which the occurrence position is expressed (DD.DDDD, Degrés-Minutes-Minutes, or degrés-Minutes-Secondes-Secondes), in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,PositionTypeEnum,Position type enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,VesselPrimaryAccIncTypeIND,Primary accident or incident type indicator,Indicates the primary accident/incident type for the vessel,smallint,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ProdReleaseEnum,Product release enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ProdReleaseEnumDisplayEng,Product release (English),"Indicates whether any product was released, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ProdReleaseEnumEnumDisplayFre,Product release (French),"Indicates whether any product was released, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ProdReleaseLocEnum,Product release location enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ProdReleaseLocEnumDisplayEng,Product release location (English),"Indicates where the released product was stored, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ProdReleaseLocEnumDisplayFre,Product release location (French),"Indicates where the released product was stored, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ProductDetailDisplayEng,Product detail (English),"The subcategory of cargo product on board, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ProductDetailDisplayFre,Product detail (French),"The subcategory of cargo product on board, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,ProductDetailID,Product detail identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,PropulsionTypeDisplayEng,Propulsion type (English),"Indicates the type of propulsion of the vessel, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,PropulsionTypeDisplayFre,Propulsion type (French),"Indicates the type of propulsion of the vessel, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,PropulsionTypeID,Propulsion type identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,ProvinceDisplayEng,Province (English),"The province of the occurrence location, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,ProvinceDisplayFre,Province (French),"The province of the occurrence location, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,ProvinceID,Province identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,QuantityOnBoard,Quantity on board,The quantity of product on board the vessel.,numeric,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,QuantityOnBoardUnitsDisplayEng,Units of quantity on board (English),"The units used to describe the quantity of product on board the vessel, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,QuantityOnBoardUnitsDisplayFre,Units of quantity on board (French),"The units used to describe the quantity of product on board the vessel, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,QuantityOnBoardUnitsEnum,Units of quantity on board enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,QuantityReleased,Quantity released,The quantity of hazardous product released from the vessel at the time of the occurrence.,numeric,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,QuantityReleasedUnitsEnum,Units of quantity released enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,QuantReleasedUnitsDisplayEng,Units of quantity released (English),"The units used to describe the quantity of hazardous product released from the vessel at the time of the occurrence, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,QuantReleasedUnitsDisplayFre,Units of quantity released (French),"The units used to describe the quantity of hazardous product released from the vessel at the time of the occurrence, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,ReasonNotExtractedDisplayEng,Reason not extracted (English),"The reason that data was not extracted from the vessel's recording equipment, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,ReasonNotExtractedDisplayFre,Reason not extracted (French),"The reason that data was not extracted from the vessel's recording equipment, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,ReasonNotExtractedID,Reason not extracted identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,RecAudioFilesDelEnum,Recorder audio files deleted enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,RecAudioFilesDelEnumDisplayEng,Recorder audio files deleted enumerated display (English),"Indicates whether the vessel's voyage data recorder audio files were deleted, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,RecAudioFilesDelEnumDisplayFre,Recorder audio files deleted enumerated display (French),"Indicates whether the vessel's voyage data recorder audio files were deleted, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,RecAudioFilesSegregatedEnum,Recorder audio files segregated enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,RecAudioFilesSegregatedEnumDisplayEng,Recorder audio files segregated enumerated  (English),"Indicates whether the vessel's voyage data recorder audio files were segregated, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,RecAudioFilesSegregatedEnumDisplayFre,Recorder audio files segregated enumerated (French),"Indicates whether the vessel's voyage data recorder audio files were segregated, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,RecCapacity_NumberOfDays,Recording capacity number of days,"The storage capacity of the voyage data recorder, in days.",numeric,NULL
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,RecordingEquipDisplayEng,Recording equipment (English),"The type of recording equipment on board the vessel, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,RecordingEquipDisplayFre,Recording equipment  (French),"The type of recording equipment on board the vessel, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,RecordingEquipID,Recording equipment identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,RegionOfOccurrenceDisplayEng,Region of occurrence (English),"The region in which an occurrence took place (Pacific, Central, Atlantic, or foreign waters), in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,RegionOfOccurrenceDisplayFre,Region of occurrence (French),"The region in which an occurrence took place (Pacific, Central, Atlantic, or foreign waters), in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,RegionOfOccurrenceID,Region of occurrence identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,RegionResponsibilityDisplayEng,Region of responsibility (English),"The administrative region of the TSB responsible for investigating the occurrence, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,RegionResponsibilityDisplayFre,Region of responsibility (French),"The administrative region of the TSB responsible for investigating the occurrence, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,RegionResponsibilityID,Region of responsibility identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,ReleasedDate,Released date,The date on which the initial occurrence details were released to the occurrence notification log.,datetime,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,ReportedByDisplayEng,Reported by (English),"The organization that initially reported the occurrence to the TSB, or the means by which the occurrence was reported, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,ReportedByDisplayFre,Reported by (French),"The organization that initially reported the occurrence to the TSB, or the means by which the occurrence was reported, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,ReportedByID,Reported by identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,ReportedDate,Reported date,The date on which the occurrence was recorded by the TSB.,datetime,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,ReportSourceDisplayEng,Report source (English),"The type of report that initially informed the TSB of an occurrence, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,ReportSourceDisplayFre,Report source (French),"The type of report that initially informed the TSB of an occurrence, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,ReportSourceID,Report source identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,RoutingDisplayEng,Routing (English),"Indicates where in the routing system the occurrence happened, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,RoutingDisplayFre,Routing (French),"Indicates where in the routing system the occurrence happened, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,RoutingID,Routing identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,SafetyCommIssuedIND,Safety communication issued indicator,A system-generated number for the purposes of database administration.,smallint,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,SafetyCommIssuedIND_DisplayEng,Safety communication issued (English),"Indicates whether any safety communications related to the occurrence have been issued by the TSB, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,SafetyCommIssuedIND_DisplayFre,Safety communication issued (French),"Indicates whether any safety communications related to the occurrence have been issued by the TSB, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,SeaPollutionDegreeDisplayEng,Sea pollution degree (English),"The degree of sea pollution resulting from the occurrence, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,SeaPollutionDegreeDisplayFre,Sea pollution degree (French),"The degree of sea pollution resulting from the occurrence, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,SeaPollutionDegreeID,Sea pollution degree identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,SearchAndRescueIND,Search and rescue indicator,A system-generated number for the purposes of database administration.,smallint,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,SearchAndRescueIND_DisplayEng,Search and rescue (English),"Indicates whether search-and-rescue operations were initiated, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,SearchAndRescueIND_DisplayFre,Search and rescue (French),"Indicates whether search-and-rescue operations were initiated, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,SeaStateDisplayEng,Sea state (English),"The sea state or condition at the time of the occurrence, in English.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,SeaStateDisplayFre,Sea state (French),"The sea state or condition at the time of the occurrence, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,SeaStateID,Sea state identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,SeatTemp_Celsius,Sea temperature Celsius,"The sea temperature at the time of the occurrence, in degrees Celsius.",int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,SerialNumber,Serial number,The serial number of the voyage data recorder.,varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,SmsOnBoardDisplayEng,Safety management system on board (English),"Indicates whether a safety management system was used on board, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,SmsOnBoardDisplayFre,Safety management system on board (French),"Indicates whether a safety management system was used on board, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,SmsOnBoardEnum,Safety management system on board enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,SmsTypeDisplayEng,Safety management system type (English),"The type of safety management system used on board, in English. ",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,SmsTypeDisplayFre,Safety management system type (French),"The type of safety management system used on board, in French. ",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,SmsTypeEnum,Safety management system type enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,SoftwareAudioMakeDisplayEng,Software audio make (English),"The make of the audio software used on the vessel, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,SoftwareAudioMakeDisplayFre,Software audio make (French),"The make of the audio software used on the vessel, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,SoftwareAudioMakeID,Software audio make identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,SoftwareAudioModelDisplayEng,Software audio model (English),"The model of the audio software used on the vessel, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,SoftwareAudioModelDisplayFre,Software audio model (French),"The model of the audio software used on the vessel, in French.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,SoftwareAudioModelID,Software audio model identification number,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_REC_EQUIPMENT_PUBLIC,SoftwareVersion,Software version,The version number of the software used on the vessel.,varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,Speed_Knots,Speed (knots),"The vessel's speed, in knots.",numeric,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,StowedOnDeckEnum,Stowed on deck enumerated,A system-generated number for the purposes of database administration.,int,NULL
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,StowedOnDeckEnumDisplayEng,Stowed on deck (English),"Indicates whether cargo was stowed on deck, in English.",varchar,255
MDOTW_VW_OCCURRENCE_VESSEL_PUBLIC,StowedOnDeckEnumDisplayFre,Stowed on deck (French),"Indicates whether cargo was stowed on deck, in French.",varchar,255
MDOTW_VW_OCCURRENCE_PUBLIC,SubstantiallyInsterestedStateIND,Substantially interested state indicator,"Indicates whether there is a substantially interested state, other than the TSB, investigating the occurrence (0 = yes; 1 = no).",int,NULL
MDOTW_VW_OCCURRENCE_PUBLIC,SubstantiallyInterestedStateDisplayEng,Substantially interested state (English),"The name of the substantially interested state investigating the occurrence, in English. ",varchar,255
